Case Status,Legislation,ICOCaseRef,Received Date,Received Year,Received FY,Received Qtr,Received FY Month,Completed Date,Completed Year,Completed FY,Completed Qtr,FY Completed Month,Sector,SubSector,Submitted About Account,Decision,DecisionDetail1,DecisionDetail2,ISCyberIncident
Completed,GDPR,IC-348094-Z1K2,02/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,"Finance, insurance and credit",Financial services and advice,National Deposit Friendly Society Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-353343-S8D3,24/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,"Finance, insurance and credit",Banks and Building Societies,National Westminster Bank PLC,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353262-D0T8,31/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Social care,Domiciliary care,Newgen care group,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353445-X7B5,03/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Health,Public health,North West North Tyneside Primary Care Network,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353286-S6X9,31/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Social care,Residential care,Nyms Services Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353292-Y1S1,31/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Land or property services,Unassigned,Ocasa Residential Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353334-S2C7,02/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Utilities,Utility companies,Octopus Energy Operations Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-351809-D0H6,18/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Legal,Legal professionals,PM Law,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353255-W0C2,29/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Charitable and voluntary,Unassigned,Sensing Friends,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Case Officer Review Completed,GDPR,IC-344878-J6V8,15/11/2024,2024,2024/25,Q3,08-Nov,03/01/2025,2025,2024/25,Q4,10-Jan,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Sheffield City Council,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
