Case Status,Legislation,ICOCaseRef,Received Datetime,Received Year,Received FY,Received Qtr,Received FY Month,Completed Date,Completed Year,Completed FY,Completed Qtr,FY Completed Month,Completed Financial Week,Sector,SubSector,Submitted About Account,Decision,DecisionDetail1,DecisionDetail2,ISCyberIncident
Completed,GDPR,IC-316459-L8J4,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Retail and manufacture,Supplier of services,Tayside Contracts,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316476-W8K8,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Membership association,Industry associations,The Association of Suppliers to the British Clothing Industry,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-316315-C0F5,27/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Maintained schools,THE BRIT SCHOOL LTD,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316371-L6V0,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Health,Primary care,The Loddon Vale Practice ,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316334-X5D3,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Health,Representative and arm's length bodies,The Medical Protection Society Limited,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,No
Completed,GDPR,IC-316593-S2T7,29/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Charitable and voluntary,Local charities,The Sealed Knot,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-313540-X0M4,13/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Transport and leisure,Leisure centres and gyms,Total Fitness Health Clubs Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-315555-D9X7,25/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Health,General Practitioner,Victoria Medical Centre,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316425-H8R6,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Health,General Practitioner,Villa Street Medical Centre,No Further Action,Not PDB,Unassigned,No
Completed,GDPR,IC-313767-M3Q3,17/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Legal,Chambers,4PB (4 Paper Buildings),No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-313287-L5W4,10/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Transport and leisure,Entertainment providers,Arcese Uk Limited,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-313580-C3G1,14/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Charitable and voluntary,National charities,Ark Schools,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-312570-V7Z7,07/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Online Technology and Telecoms,Software developers,Bluebeam Limited UK Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-304597-S6S8,02/05/2024,2024,2024/25,Q1,02-May,02/07/2024,2024,2024/25,Q2,04-Jul,14,Retail and manufacture,Manufacturing,BMW (UK) Manfacturing Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316473-N9K0,28/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Health,Secondary care,Bolton NHS Foundation Trust,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316535-V8D9,29/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Transport and leisure,Entertainment providers,Bonne Terre Limited (Skybet),Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316805-Q2L3,01/07/2024,2024,2024/25,Q2,04-Jul,02/07/2024,2024,2024/25,Q2,04-Jul,14,Health,General Practitioner,Brookmill Medical Centre,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316496-X5Z5,28/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Maintained schools,Burbage Primary School,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-314519-H1F5,19/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Charitable and voluntary,National charities,Change Grow Live,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-314465-F2N5,19/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,"Finance, insurance and credit",Accountancy and Payroll,Cunningham & Co Accountants Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-315568-Q9Y8,25/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Transport and leisure,Passenger transport,DFDS A/S,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-313512-G3X0,13/06/2024,2024,2024/25,Q1,03-Jun,02/07/2024,2024,2024/25,Q2,04-Jul,14,Health,General Practitioner,Dunblane Medical Practice,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
